,0
583,O=C1CC2C=CCC2O1
584,CC1CC(O)C(O)CO1
585,CC1OC=CC(O)C1O
586,CC1OC=CC(O)C1O
587,CC1OC(O)C(O)C1O
588,OC1CC2OC2C(O)C1O
589,OC1CC2OC2C(O)C1O
590,OC1CC2OC2C(O)C1O
591,CCC(C)C1=CC=C(O)C=C1
592,CCCCCCCCCCC(O)=O
593,CCCCCCCCCCCCCCCC
594,CCCCCC1=CC=C(O)C=C1
595,CCCCC1=CC=C(CO)C=C1
596,CC(CO)C(C)C(O)=O
597,COC1=CC=C(O)C(C)=C1
598,O=CC1CCCCCCCCCC1
599,CC1(C)OCC(CO)O1
600,CC(CCO)CCC=C(C)C
601,OCC1=CC=C(O)C(O)=C1
602,CC(C)C1=CC=C(C)C=C1
603,OCC#CC#CCCCCCC=C
604,CC(C)C1=CC=CC(O)=C1
605,CC1=CC(C)=CC(C)=C1
606,CC1=CC=C(C)C(C)=C1
607,COCCC1=CC=C(O)C=C1
608,CC(C)C(O)C(O)=O
609,CCCCC(CC)C(O)=O
610,CC(O)C1=CC=C(O)C=C1
611,CCCCOC1=CC=C(O)C=C1
612,CC(C)(C)CC(O)=O
613,CCCCCCCCCC(C)=O
614,CCCCCCCCCCCCCCC
615,CC1OC(C)OC(C)O1
616,CC(O)COC(C)(C)C
617,CCCCOCCOCCOCCCC
618,CC(C)(C)OCC1CO1
619,CCOC1=CC=C(CO)C=C1
620,CCCCCC(C)C(O)=O
621,CCC1=CC=C(C=O)C=C1
622,CCCCCCCCCCCCC=C
623,CCCCCCCCCCCCC=O
624,CCCOC1=CC=CC(O)=C1
625,CCOC1=CC=CC(OC)=C1
626,CCOC1=CC=C(OC)C=C1
627,CCCCCCCCOC(C)=O
628,OC1=CC=C(O)C(O)=C1
629,COCCOCCOCCOCCOC
630,CCCCCCC(CO)CCCC
631,CCCCCCCCCCC1CO1
632,CCCCCC1=CCCC1=O
633,CCOCCOCCOC(C)=O
634,CC(C)CCCC(C)CCO
635,CCCOC(OCCC)OCCC
636,CC(O)C(CO)C(C)O
637,CC(C)=CC(C)(C)C
638,CCCC1=CC=C(OC)C=C1
639,CCCCC(CC)(CO)CO
640,CCCCC1CCC(O)CC1
641,OC1=CC=CC(O)=C1C=O
642,CC(C)=CCOC(C)=O
643,CCCC(O)C#CC#CCO
644,CC(C)=CCCC(C)=CCO
645,CC(C)C1=CC=C(C)C=C1O
646,CC(C)(C)C1CCOC1=O
